platform,username,comment_text,timestamp,likes,post_id,post_subject,post_url,comment_id,primary_emotion,sentiment_score,secondary_emotions,is_sarcastic,mentioned_entities
instagram,@taylorswiftfan13,OMG she ate this look 🔥🔥 absolutely iconic,2024-11-20 14:30:00,245,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,1c954b86b9250105,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@realitytv_obsessed,I'm so over this storyline honestly. Can we move on already?,2024-11-20 14:35:00,12,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,a94b772a766436d7,fatigue,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@moviebuff2024,They're perfect together!! Relationship goals ❤️❤️,2024-11-20 14:40:00,89,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,343a67a05b9fd021,excitement,1.0,['love'],False,"{'people': [], 'shows': []}"
instagram,@gossip_girl_vibes,Wait what?? I didn't see this coming at all omg,2024-11-20 15:15:00,156,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,fd5022bcb7eadeb2,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@cinema_critic,Honestly disappointed with how this turned out. Expected better.,2024-11-20 15:45:00,34,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,2cf75d934d422730,disappointment,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@pop_culture_daily,Living for Taylor and Travis content. We need MORE of this!,2024-11-20 16:20:00,412,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,b8bc0c6d8e953c97,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@entertainment_news_fan,This is literally everything I needed today yasss queen,2024-11-20 16:55:00,67,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,b103aa612d622e6a,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@casual_viewer_01,She looks stunning as always. Beautiful dress choice,2024-11-20 17:10:00,203,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,8cc3692a87ba10ba,love,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@negative_nancy_99,Ugh this is so cringe. Can't believe people care about this,2024-11-20 17:25:00,8,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,ee2d6dec9fed1c65,disgust,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@superfan_forever,I CAN'T EVEN RIGHT NOW THIS IS AMAZING!!!,2024-11-20 17:40:00,891,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,78ef6d611440d255,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@skeptical_viewer,Sure Jan... totally not staged for publicity /s,2024-11-20 18:05:00,45,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,8a8794c111ef03f1,neutral,0.0,[],True,"{'people': [], 'shows': []}"
instagram,@ET_longtime_fan,Been watching ET for 20 years and this is why I love this show,2024-11-20 18:30:00,178,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,e4086f66d49d3b96,excitement,1.0,['love'],False,"{'people': [], 'shows': []}"
instagram,@drama_lover_2024,The lawsuit storyline is getting old tbh. Time for something new,2024-11-20 19:15:00,29,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,d93bd0fb5ff2a0ba,disgust,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@awards_season_tracker,Cannot wait to see her at the Golden Globes next month,2024-11-20 19:45:00,234,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,727348797503088d,fatigue,-1.0,[],False,"{'people': [], 'shows': []}"
